Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Temizlenmis_Ozet,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Stemmed_Tokenlar
KIT011,Kuvâyi Milliye,Nâzım Hikmet,Şiir,Türk Edebiyatı,Kitapyurdu,1941,Türk kurtuluş savaşını destansı bir dille anlatan bu şiir kitabı Nâzım Hikmet in en önemli eserlerinden biridir Halkın savaş deneyimini ve kahramanlığını coşkulu bir dille aktaran şair hem bireysel hem de toplumsal boyutları ustalıkla bir araya getirir Bu eser Türk şiirinin kilometre taşlarından kabul edilmektedir,"Türk kurtuluş savaşını destansı bir dille anlatan bu şiir kitabı, Nâzım Hikmet'in en önemli eserlerinden biridir. | Halkın savaş deneyimini ve kahramanlığını coşkulu bir dille aktaran şair, hem bireysel hem de toplumsal boyutları ustalıkla bir araya getirir. | Bu eser Türk şiirinin kilometre taşlarından kabul edilmektedir.",45,türk kurtuluş savaşını destansı dille anlatan şiir kitabı nâzım hikmet önemli eserlerinden biridir halkın savaş deneyimini kahramanlığını coşkulu dille aktaran şair bireysel toplumsal boyutları ustalıkla araya getirir eser türk şiirinin kilometre taşlarından kabul edilmektedir,türk kurtuluş savaş destansı dil anla şiir kitap nâzım hikmet önemli eser bir halk savaş deneyim kahramanlık coşkul dil aktara şair bireysel toplumsal boyut ustalık ara getirir eser türk şiir kilometre taş kabul edilmek
KIT012,Şeyh Galip Divanı,Şeyh Galip,Şiir,Divan Edebiyatı,D&R,1798,Osmanlı divan şiirinin son büyük temsilcisi Şeyh Galip in eserlerini bir araya getiren bu divan tasavvufi şiirin zirvesi olarak kabul edilmektedir Aşk ve ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir Hüsn ü Aşk mesnevisiyle birlikte Şeyh Galip in en olgun dönem eserlerini yansıtmaktadır,"Osmanlı divan şiirinin son büyük temsilcisi Şeyh Galip'in eserlerini bir araya getiren bu divan, tasavvufi şiirin zirvesi olarak kabul edilmektedir. | Aşk ve ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir. | Hüsn ü Aşk mesnevisiyle birlikte Şeyh Galip'in en olgun dönem eserlerini yansıtmaktadır.",45,osmanlı divan şiirinin son temsilcisi şeyh galip eserlerini araya getiren divan tasavvufi şiirin zirvesi kabul edilmektedir aşk ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir hüsn aşk mesnevisiyle birlikte şeyh galip olgun dönem eserlerini yansıtmaktadır,osmanlı diva şiir son temsilcis şeyh galip eser ara getire diva tasavvufi şiir zirves kabul edilmek aşk ilah güzellik tema işleye şiir der sembolik anla katman içermek hüsn aşk mesnevi birlik şeyh galip olgu döne eser yansıtmak
KIT013,Garip,Orhan Veli Kanık,Şiir,Türk Edebiyatı,Goodreads,1941,Türk şiirinde bir devrim niteliği taşıyan bu kitap geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini ve yaşamını şiire taşımıştır Orhan Veli Melih Cevdet Anday ve Oktay Rifat ın imzasını taşıyan bu manifesto şiiri seçkin bir azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir,"Türk şiirinde bir devrim niteliği taşıyan bu kitap, geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini ve yaşamını şiire taşımıştır. | Orhan Veli Melih Cevdet Anday ve Oktay Rifat'ın imzasını taşıyan bu manifesto, şiiri seçkin bir azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir.",41,türk şiirinde devrim niteliği taşıyan kitap geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini yaşamını şiire taşımıştır orhan veli melih cevdet anday oktay rifat imzasını taşıyan manifesto şiiri seçkin azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir,türk şiir devr nitelik taşıya kitap geleneksel şiir anlayış başkaldırarak sıra insa dil yaşam şiir taşımış orha vel melih cevdet anday oktay rifat imza taşıya manifesto şiir seçk azınlık kurtararak geniş kitle ulaştırma hedeflemiş
KIT014,Yeraltından Notlar,Fyodor Dostoyevski,Novella,Çeviri,Kitapyurdu,1864,Dostoyevski nin topluma yabancılaşmış ve kendisiyle çatışma halindeki bir karakterin iç dünyasını anlattığı bu eser modern psikolojik romanın öncüsü sayılmaktadır Yeraltı adamının çelişkili düşünceleri ve toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır,"Dostoyevski'nin topluma yabancılaşmış ve kendisiyle çatışma halindeki bir karakterin iç dünyasını anlattığı bu eser, modern psikolojik romanın öncüsü sayılmaktadır. | Yeraltı adamının çelişkili düşünceleri ve toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır.",32,dostoyevski topluma yabancılaşmış kendisiyle çatışma halindeki karakterin dünyasını anlattığı eser modern psikolojik romanın öncüsü sayılmaktadır yeraltı adamının çelişkili düşünceleri toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır,dostoyevski topl yabancılaş kendi çatışma hal karakter dünya anlattık eser modern psikolojik roma öncüs sayılmak yeral adam çelişkil düşünce toplumsal ilişki başarısızlık insanlık evrensel çelişki yansıtmak
KIT015,Olağanüstü Bir Gece,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1959,Tanpınar ın İstanbul sevgisi ve Osmanlı dan Cumhuriyet e geçiş sürecinin yarattığı kültürel kopuşu işlediği bu roman hem estetik hem de düşünsel derinliğiyle öne çıkar Eser zamanın akışı ve hafıza temaları etrafında örülmüş lirik bir anlatı sunmaktadır,"Tanpınar'ın İstanbul sevgisi ve Osmanlı'dan Cumhuriyet'e geçiş sürecinin yarattığı kültürel kopuşu işlediği bu roman, hem estetik hem de düşünsel derinliğiyle öne çıkar. | Eser zamanın akışı ve hafıza temaları etrafında örülmüş lirik bir anlatı sunmaktadır.",36,tanpınar istanbul sevgisi osmanlı cumhuriyet geçiş sürecinin yarattığı kültürel kopuşu işlediği roman estetik düşünsel derinliğiyle öne çıkar eser zamanın akışı hafıza temaları etrafında örülmüş lirik anlatı sunmaktadır,tanpınar istanbul sevgis osmanlı cumhuriyet geçiş süreç yarattık kültürel kopuş işledik roma estetik düşünsel derinlik ön çıkar eser zama akış hafız tema etraf örül lirik anlat sunmak
KIT016,Memleketten İnsan Manzaraları,Nâzım Hikmet,Şiir,Türk Edebiyatı,Goodreads,1966,Nâzım Hikmet in Türkiye den insan portrelerini anlattığı bu uzun şiir farklı sınıf ve mesleklerden insanların hikayelerini ustaca bir araya getirir Bir tren yolculuğu metaforu etrafında örülen eser toplumun geniş bir kesitini epik bir şekilde yansıtmaktadır,"Nâzım Hikmet'in Türkiye'den insan portrelerini anlattığı bu uzun şiir, farklı sınıf ve mesleklerden insanların hikayelerini ustaca bir araya getirir. | Bir tren yolculuğu metaforu etrafında örülen eser, toplumun geniş bir kesitini epik bir şekilde yansıtmaktadır.",36,nâzım hikmet türkiye insan portrelerini anlattığı uzun şiir farklı sınıf mesleklerden insanların hikayelerini ustaca araya getirir tren yolculuğu metaforu etrafında örülen eser toplumun geniş kesitini epik şekilde yansıtmaktadır,nâzım hikmet türki in portre anlattık uz şiir farklı sınıf meslek insa hikaye ustaç ara getirir tren yolculuk metafor etraf örüle eser topl geniş kesit epik şekil yansıtmak
KIT017,Sinekli Bakkal,Halide Edib Adıvar,Roman,Türk Edebiyatı,Kitapyurdu,1936,İstanbul un köklü bir semtinde geçen bu roman farklı sosyal sınıflardan insanların bir arada yaşamasını ve Osmanlı nın son dönemini anlatır Rabia adlı genç bir kız üzerinden hem kişisel hem de toplumsal dönüşüm işlenmektedir Halide Edib Adıvar bu eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır,"İstanbul'un köklü bir semtinde geçen bu roman, farklı sosyal sınıflardan insanların bir arada yaşamasını ve Osmanlı'nın son dönemini anlatır. | Rabia adlı genç bir kız üzerinden hem kişisel hem de toplumsal dönüşüm işlenmektedir. | Halide Edib Adıvar bu eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır.",45,istanbul köklü semtinde roman farklı sosyal sınıflardan insanların arada yaşamasını osmanlı son dönemini anlatır rabia adlı genç kız üzerinden kişisel toplumsal dönüşüm işlenmektedir halide edib adıvar eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır,istanbul köklü semt roma farklı sosyal sınıf insa ara yaşama osmanlı son dönem an rabia adlı genç kız üzer kişisel toplumsal dönüş işlenmek hali edip adıvar eser tarih bağla bireysel hikaye ustalık harmanlmış
KIT018,Kiralık Konak,Yakup Kadri Karaosmanoğlu,Roman,Türk Edebiyatı,D&R,1922,Osmanlı nın çöküşü ve modernleşme sürecinde bir konağın çevresinde dönen nesiller arası çatışmayı anlatan bu roman Türk edebiyatının önemli eserlerinden biridir Naim Efendi nin ailesi üzerinden geleneksel değerlerin ve kurumların nasıl çöktüğü işlenmektedir Karaosmanoğlu bu eserde toplumsal dönüşümü keskin bir gözlemle aktarmıştır,"Osmanlı'nın çöküşü ve modernleşme sürecinde bir konağın çevresinde dönen nesiller arası çatışmayı anlatan bu roman, Türk edebiyatının önemli eserlerinden biridir. | Naim Efendi'nin ailesi üzerinden geleneksel değerlerin ve kurumların nasıl çöktüğü işlenmektedir. | Karaosmanoğlu bu eserde toplumsal dönüşümü keskin bir gözlemle aktarmıştır.",42,osmanlı çöküşü modernleşme sürecinde konağın çevresinde dönen nesiller arası çatışmayı anlatan roman türk edebiyatının önemli eserlerinden biridir naim efendi ailesi üzerinden geleneksel değerlerin kurumların nasıl çöktüğü işlenmektedir karaosmanoğlu eserde toplumsal dönüşümü keskin gözlemle aktarmıştır,osmanlı çöküş modernleşme süreç konak çevre döne nesil aras çatışma anla roma türk edebiyat önemli eser bir naim efe ailes üzer geleneksel değer kur nasıl çöktük işlenmek karaosmanoğlu eser toplumsal dönüş kesk gözle aktar
KIT019,Yüz Yıllık Yalnızlık,Gabriel García Márquez,Roman,Çeviri,Goodreads,1967,Latin Amerika edebiyatının ve dünya edebiyatının en önemli eserlerinden olan bu roman Buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır Macondo adlı hayali kasabada geçen olaylar insanlığın döngüsel tarihini ve yalnızlık olgusunu evrensel bir perspektiften ele almaktadır,"Latin Amerika edebiyatının ve dünya edebiyatının en önemli eserlerinden olan bu roman, Buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır. | Macondo adlı hayali kasabada geçen olaylar, insanlığın döngüsel tarihini ve yalnızlık olgusunu evrensel bir perspektiften ele almaktadır.",39,latin amerika edebiyatının dünya edebiyatının önemli eserlerinden roman buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır macondo adlı hayali kasabada olaylar insanlığın döngüsel tarihini yalnızlık olgusunu evrensel perspektiften ele almaktadır,lat amerik edebiyat dünya edebiyat önemli eser roma buendía aile yüz yıllık hikaye büyül gerçekçilik ak çerçeve an macondo adlı hayali kasaba olay insanlık döngüsel tarih yalnızlık olgu evrensel perspektif el almak
KIT020,Puslu Kıtalar Atlası,İhsan Oktay Anar,Roman,Türk Edebiyatı,Kitapyurdu,1995,Osmanlı İstanbul unda geçen bu roman dil ve anlatı oyunlarıyla örülü postmodern bir yapıya sahiptir Batı nın keşif çağında İstanbul da yaşanan gizemleri anlatan eser hem tarihsel hem de fantastik unsurları bir arada barındırır İhsan Oktay Anar bu romanla Türk edebiyatına özgün ve alışılmadık bir ses getirmiştir,"Osmanlı İstanbul'unda geçen bu roman, dil ve anlatı oyunlarıyla örülü postmodern bir yapıya sahiptir. | Batı'nın keşif çağında İstanbul'da yaşanan gizemleri anlatan eser, hem tarihsel hem de fantastik unsurları bir arada barındırır. | İhsan Oktay Anar bu romanla Türk edebiyatına özgün ve alışılmadık bir ses getirmiştir.",47,osmanlı istanbul unda roman dil anlatı oyunlarıyla örülü postmodern yapıya sahiptir batı keşif çağında istanbul yaşanan gizemleri anlatan eser tarihsel fantastik unsurları arada barındırır ihsan oktay anar romanla türk edebiyatına özgün alışılmadık ses getirmiştir,osmanlı istanbul un roma dil anlat oyun örül postmodern yapı sahip bat keşif çak istanbul yaşana gizem anla eser tarihsel fantastik unsur ara barındırır ih oktay anar roma türk edebiyat özgü alışılmadık ses getir
KIT021,Huzur,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1949,Tanpınar ın başyapıtı olarak kabul edilen bu roman İstanbul un güzelliğini ve iki dünya savaşı arasındaki aydın bunalımını anlatır Mümtaz ve Nuran arasındaki aşk hikayesi üzerinden Doğu ile Batı arasındaki kültürel gerilim işlenmektedir Eser Türk edebiyatının en lirik ve felsefi romanlarından biri olarak değerlendirilmektedir,"Tanpınar'ın başyapıtı olarak kabul edilen bu roman, İstanbul'un güzelliğini ve iki dünya savaşı arasındaki aydın bunalımını anlatır. | Mümtaz ve Nuran arasındaki aşk hikayesi üzerinden Doğu ile Batı arasındaki kültürel gerilim işlenmektedir. | Eser Türk edebiyatının en lirik ve felsefi romanlarından biri olarak değerlendirilmektedir.",44,tanpınar başyapıtı kabul edilen roman istanbul güzelliğini iki dünya savaşı arasındaki aydın bunalımını anlatır mümtaz nuran arasındaki aşk hikayesi üzerinden doğu batı arasındaki kültürel gerilim işlenmektedir eser türk edebiyatının lirik felsefi romanlarından biri değerlendirilmektedir,tanpınar başyapıt kabul edile roma istanbul güzellik ik dünya savaş aras a bunalım an mümtaz nura aras aşk hikayes üzer dok bat aras kültürel geril işlenmek eser türk edebiyat lirik felsef roman bir değerlendirilmek
