Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Ozet
KIT017,Sinekli Bakkal,Halide Edib Adıvar,Roman,Türk Edebiyatı,Kitapyurdu,1936,"İstanbul'un köklü bir semtinde geçen bu roman, farklı sosyal sınıflardan insanların bir arada yaşamasını ve Osmanlı'nın son dönemini anlatır. Rabia adlı genç bir kız üzerinden hem kişisel hem de toplumsal dönüşüm işlenmektedir. Halide Edib Adıvar bu eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır."
KIT018,Kiralık Konak,Yakup Kadri Karaosmanoğlu,Roman,Türk Edebiyatı,D&R,1922,"Osmanlı'nın çöküşü ve modernleşme sürecinde bir konağın çevresinde dönen nesiller arası çatışmayı anlatan bu roman, Türk edebiyatının önemli eserlerinden biridir. Naim Efendi'nin ailesi üzerinden geleneksel değerlerin ve kurumların nasıl çöktüğü işlenmektedir. Karaosmanoğlu bu eserde toplumsal dönüşümü keskin bir gözlemle aktarmıştır."
KIT019,Yüz Yıllık Yalnızlık,Gabriel García Márquez,Roman,Çeviri,Goodreads,1967,"Latin Amerika edebiyatının ve dünya edebiyatının en önemli eserlerinden olan bu roman, Buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır. Macondo adlı hayali kasabada geçen olaylar, insanlığın döngüsel tarihini ve yalnızlık olgusunu evrensel bir perspektiften ele almaktadır."
KIT020,Puslu Kıtalar Atlası,İhsan Oktay Anar,Roman,Türk Edebiyatı,Kitapyurdu,1995,"Osmanlı İstanbul'unda geçen bu roman, dil ve anlatı oyunlarıyla örülü postmodern bir yapıya sahiptir. Batı'nın keşif çağında İstanbul'da yaşanan gizemleri anlatan eser, hem tarihsel hem de fantastik unsurları bir arada barındırır. İhsan Oktay Anar bu romanla Türk edebiyatına özgün ve alışılmadık bir ses getirmiştir."
KIT021,Huzur,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1949,"Tanpınar'ın başyapıtı olarak kabul edilen bu roman, İstanbul'un güzelliğini ve iki dünya savaşı arasındaki aydın bunalımını anlatır. Mümtaz ve Nuran arasındaki aşk hikayesi üzerinden Doğu ile Batı arasındaki kültürel gerilim işlenmektedir. Eser Türk edebiyatının en lirik ve felsefi romanlarından biri olarak değerlendirilmektedir."
KIT022,Don Kişot,Miguel de Cervantes,Roman,Çeviri,Goodreads,1605,"Dünya edebiyatının ilk modern romanı olarak kabul edilen bu eser, hayalci şövalye Don Kişot ile sadık uşağı Sancho Panza'nın macerasını anlatır. İdealizm ile gerçeklik arasındaki çatışmayı mizahi bir dille ele alan roman, yüzyıllar boyunca okunmaya ve yorumlanmaya devam etmektedir."
KIT023,Küçük Prens,Antoine de Saint-Exupéry,Çocuk / Yetişkin,Çeviri,Kitapyurdu,1943,"Bir pilot ile küçük bir prens arasındaki karşılaşmayı anlatan bu kısa roman, hem çocuklara hem de yetişkinlere hitap eden evrensel bir başyapıttır. Arkadaşlık, aşk, yalnızlık ve hayatın anlamı gibi temaları şiirsel bir dille işleyen eser, dünya genelinde en çok okunan kitaplar arasında yer almaktadır."
KIT024,Fatih Harbiye,Peyami Safa,Roman,Türk Edebiyatı,D&R,1931,"Geleneksel Müslüman Fatih ile modern Batılı Harbiye semtleri arasında sıkışan bir genç kızın kimlik bunalımını anlatan bu roman, Türk modernleşmesinin bireysel düzeydeki yansımalarını işlemektedir. Neriman'ın iki dünya arasındaki tercih sancısı, dönemin Türkiye'sinin kültürel ikilemini simgeler."
KIT025,Serenad,Zülfü Livaneli,Roman,Türk Edebiyatı,Goodreads,2011,"Bir müzisyen ile bir bilim insanının hayatlarının kesiştiği bu roman, Schubert'in Serenad bestesi etrafında örülmüş güçlü bir aşk ve özgürlük hikayesidir. İkinci Dünya Savaşı atmosferinde geçen eser, sanatın ve müziğin insanı nasıl kurtarabileceğini duygusal bir şekilde anlatmaktadır."
KIT026,Bülbülü Öldürmek,Harper Lee,Roman,Çeviri,Kitapyurdu,1960,"Amerika'nın ırkçı güney eyaletlerinde geçen bu roman, küçük bir kızın gözünden adaleti ve insanlığı sorgulamaktadır. Avukat Atticus Finch'in haksız yere suçlanan siyah bir adamı savunması üzerinden ahlaki cesaret ve empati temaları işlenmektedir. Nobel ödüllü bu eser, dünya edebiyatının en kalıcı başyapıtlarından kabul edilmektedir."
KIT027,Simyacı,Paulo Coelho,Roman,Çeviri,D&R,1988,"Genç bir çobanın kendi kaderine ulaşma yolculuğunu anlatan bu roman, dünya genelinde yüz milyonlarca okuyucuya ulaşmış felsefi bir macera hikayesidir. Evrenin dili ve kişisel efsane kavramları üzerinden bireyin hayattaki amacını bulma yolculuğu anlatılmaktadır. Coelho bu eserde Doğu ve Batı bilgeliğini evrensel bir dille harmanlmıştır."
KIT028,Kürk Mantolu Madonna,Sabahattin Ali,Roman,Türk Edebiyatı,Goodreads,1943,"Türk edebiyatının en çok okunan romanlarından olan bu eser, Berlin'de yaşanan imkansız bir aşk hikayesini anlatır. Raif Efendi'nin derin ve karşılıksız aşkı, sıradan bir insanın olağanüstü bir iç dünyasını gözler önüne serer. Sabahattin Ali bu romanla hem bireysel hem de toplumsal yabancılaşmayı ustalıkla işlemiştir."
KIT029,Hayvan Çiftliği,George Orwell,Roman,Çeviri,Kitapyurdu,1945,"Bir çiftlikteki hayvanların isyanı üzerinden totaliter rejimleri ve ideolojik yozlaşmayı hicveden bu roman, siyasi alegorinin en başarılı örneklerinden biridir. İktidarın nasıl yolsuzlaştığını ve devrimlerin nasıl kendi ideallerini çiğnediğini anlatan eser, güncelliğini korumaya devam etmektedir."
KIT030,1984,George Orwell,Roman,Çeviri,D&R,1949,"Totaliter bir gelecek toplumunda geçen bu distopik roman, gözetleme devleti ve bireysel özgürlüğün yok edilmesi temalarını işler. Büyük Birader ve Düşünce Polisi kavramları bu eserden günümüz diline geçmiştir. Orwell bu romanla 20. yüzyılın en etkili siyasi uyarılarından birini kaleme almıştır."
KIT031,Aylak Adam,Yusuf Atılgan,Roman,Türk Edebiyatı,Goodreads,1959,"İstanbul sokaklarında amaçsızca dolaşan C. adlı bir karakterin varoluşsal bunalımını anlatan bu roman, Türk edebiyatının en özgün eserlerinden biridir. Yabancılaşma ve anlamsızlık temaları üzerine kurulan roman, Albert Camus ve Jean-Paul Sartre'ın varoluşçu felsefesinin izlerini taşımaktadır."
KIT032,Masumiyet Müzesi,Orhan Pamuk,Roman,Türk Edebiyatı,Kitapyurdu,2008,"Nobel ödüllü yazar Orhan Pamuk'un kaleme aldığı bu roman, 1970'ler İstanbul'unda yaşanan tutkulu bir aşk hikayesini ve kayıp zamanın izini süren bir adamın hikayesini anlatır. Roman için gerçekte kurulan müze, kurgu ile gerçeği iç içe geçirmiştir. Pamuk bu eserde koleksiyon obsesyonu ve hafıza üzerine derin bir meditasyon sunar."
KIT033,Kar,Orhan Pamuk,Roman,Türk Edebiyatı,D&R,2002,"Siyasi İslamcılık laiklik kimlik ve sanat temalarını ustalıkla işleyen bu roman, karla kaplı Kars şehrinde geçen yoğun bir atmosfer içinde hem bireysel hem de toplumsal bir yüzleşmeyi anlatır. Pamuk bu eserde Türkiye'nin Doğu-Batı gerilimini çok boyutlu bir şekilde ele almaktadır."
KIT034,Sözlerin Rengi,Murathan Mungan,Şiir,Türk Edebiyatı,Goodreads,1995,"Murathan Mungan'ın dil ve imgelem açısından son derece zengin şiirlerini bir araya getiren bu kitap, Türk şiirinde özgün ve güçlü bir ses olarak öne çıkmaktadır. Kimlik, arzu ve yabancılaşma temaları şairin karakteristik lirizmyle işlenmektedir."
KIT035,Beyoğlu'nun En Güzel Abisi,Hasan Ali Toptaş,Roman,Türk Edebiyatı,Kitapyurdu,2006,"Toptaş'ın büyülü gerçekçilik anlayışıyla kaleme aldığı bu roman, İstanbul'un Beyoğlu semtinde geçen mistik ve kurgusal bir atmosfer içinde bireyin varoluş sorgulamasını anlatır. Yazar bu eserde gerçek ve hayal arasındaki sınırı ustalıkla bulanıklaştırmaktadır."
KIT036,Tehlikeli Oyunlar,Oğuz Atay,Roman,Türk Edebiyatı,D&R,1973,"Oğuz Atay'ın ikinci romanı olan bu eser, Hikmet Benol adlı bir karakterin hem kişisel hem de toplumsal yabancılaşmasını bilinç akışı tekniğiyle anlatır. Geleneksel roman yapısına meydan okuyan bu eser Türk edebiyatında postmodern anlatının öncüsü sayılmaktadır."
KIT037,Serenat,Hüseyin Rahmi Gürpınar,Roman,Türk Edebiyatı,Goodreads,1919,"Hüseyin Rahmi Gürpınar'ın toplumsal hiciv ustası kimliğini ortaya koyan bu roman, İstanbul'un sosyal hayatındaki çelişkileri ve yozlaşmayı eğlenceli bir dille anlatır. Yazar bu eserde hem güldürü hem de eleştiri unsurlarını bir arada kullanan kendine özgü tekniğini sergilemiştir."
KIT038,Uçurtma Avcısı,Khaled Hosseini,Roman,Çeviri,Kitapyurdu,2003,"Afganistan'da iki çocukluk arkadaşının hikayesini anlatan bu roman, ihanet suçluluk ve kurtuluş temalarını işleyen güçlü bir eserdir. Sovyet işgalinden Taliban dönemine uzanan tarihsel süreç bireysel hikayelerle ustaca örülmüştür. Eser dünya genelinde milyonlarca okuyucunun kalbine dokunmayı başarmıştır."
KIT039,Küçük Kadınlar,Louisa May Alcott,Roman,Çeviri,D&R,1868,"Amerikan iç savaşı döneminde dört kardeşin büyüme hikayesini anlatan bu roman, kadın kimliği ve bağımsızlık temalarını dönemine göre cesurca işlemesiyle öne çıkmaktadır. March ailesinin kızlarının rüyaları mücadeleleri ve sevinçleri evrensel bir aile hikayesi sunmaktadır."
KIT040,Matmazel Noraliya'nın Koltuğu,Peyami Safa,Roman,Türk Edebiyatı,Goodreads,1949,"Peyami Safa'nın manevi arayış ve ruh ikiliği temalarını işlediği bu roman, hem psikolojik çözümlemesi hem de mistik atmosferiyle öne çıkmaktadır. Ferit adlı karakterin iç dünyasındaki karışıklık ve nihayetinde bulduğu huzur, varoluşsal bir yolculuğu simgelemektedir."
