Kitap_ID,Baslik,Yazar,Tur,Kategori,Kaynak,Yayın_Yili,Temizlenmis_Ozet,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Lemmatized_Tokenlar
KIT011,Kuvâyi Milliye,Nâzım Hikmet,Şiir,Türk Edebiyatı,Kitapyurdu,1941,Türk kurtuluş savaşını destansı bir dille anlatan bu şiir kitabı Nâzım Hikmet in en önemli eserlerinden biridir Halkın savaş deneyimini ve kahramanlığını coşkulu bir dille aktaran şair hem bireysel hem de toplumsal boyutları ustalıkla bir araya getirir Bu eser Türk şiirinin kilometre taşlarından kabul edilmektedir,"Türk kurtuluş savaşını destansı bir dille anlatan bu şiir kitabı, Nâzım Hikmet'in en önemli eserlerinden biridir. | Halkın savaş deneyimini ve kahramanlığını coşkulu bir dille aktaran şair, hem bireysel hem de toplumsal boyutları ustalıkla bir araya getirir. | Bu eser Türk şiirinin kilometre taşlarından kabul edilmektedir.",45,türk kurtuluş savaşını destansı dille anlatan şiir kitabı nâzım hikmet önemli eserlerinden biridir halkın savaş deneyimini kahramanlığını coşkulu dille aktaran şair bireysel toplumsal boyutları ustalıkla araya getirir eser türk şiirinin kilometre taşlarından kabul edilmektedir,türk kurtuluş savaşını destansı dille anla şiir kitabı nâzım hikmet önemli eserleri biridir halk savaş deneyimini kahramanlığını coşkulu dille aktaran şair bireysel toplumsal boyut ustalıkla araya getirir eser türk şiiri kilometre taşları kabul edilmektedir
KIT012,Şeyh Galip Divanı,Şeyh Galip,Şiir,Divan Edebiyatı,D&R,1798,Osmanlı divan şiirinin son büyük temsilcisi Şeyh Galip in eserlerini bir araya getiren bu divan tasavvufi şiirin zirvesi olarak kabul edilmektedir Aşk ve ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir Hüsn ü Aşk mesnevisiyle birlikte Şeyh Galip in en olgun dönem eserlerini yansıtmaktadır,"Osmanlı divan şiirinin son büyük temsilcisi Şeyh Galip'in eserlerini bir araya getiren bu divan, tasavvufi şiirin zirvesi olarak kabul edilmektedir. | Aşk ve ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir. | Hüsn ü Aşk mesnevisiyle birlikte Şeyh Galip'in en olgun dönem eserlerini yansıtmaktadır.",45,osmanlı divan şiirinin son temsilcisi şeyh galip eserlerini araya getiren divan tasavvufi şiirin zirvesi kabul edilmektedir aşk ilahi güzellik temalarını işleyen şiirler derin sembolik anlam katmanları içermektedir hüsn aşk mesnevisiyle birlikte şeyh galip olgun dönem eserlerini yansıtmaktadır,osmanlı divan şiiri son temsilcisi şeyh galip eserlerini araya getiren divan tasavvufi şiir zirvesi kabul edilmektedir aşk ilahi güzel temalarını işleyen şiir der sembo anlam katman içermektedir hüsn aşk mesnevisiyle birlik şeyh galip olg dönem eserlerini yansıtmaktadır
KIT013,Garip,Orhan Veli Kanık,Şiir,Türk Edebiyatı,Goodreads,1941,Türk şiirinde bir devrim niteliği taşıyan bu kitap geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini ve yaşamını şiire taşımıştır Orhan Veli Melih Cevdet Anday ve Oktay Rifat ın imzasını taşıyan bu manifesto şiiri seçkin bir azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir,"Türk şiirinde bir devrim niteliği taşıyan bu kitap, geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini ve yaşamını şiire taşımıştır. | Orhan Veli Melih Cevdet Anday ve Oktay Rifat'ın imzasını taşıyan bu manifesto, şiiri seçkin bir azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir.",41,türk şiirinde devrim niteliği taşıyan kitap geleneksel şiir anlayışına başkaldırarak sıradan insanın dilini yaşamını şiire taşımıştır orhan veli melih cevdet anday oktay rifat imzasını taşıyan manifesto şiiri seçkin azınlıktan kurtararak geniş kitlelere ulaştırmayı hedeflemiştir,türk şiiri devrim niteliği taşıyan kitap geleneksel şiir anlayışı başkaldır sıra insa dilini yaşamını şiire taşımıştır orhan veli melih cevdet anday oktay rifat imzasını taşıyan manifesto şiiri seçk azınlık kurtar geniş kitle ulaştırmayı hedeflemiştir
KIT014,Yeraltından Notlar,Fyodor Dostoyevski,Novella,Çeviri,Kitapyurdu,1864,Dostoyevski nin topluma yabancılaşmış ve kendisiyle çatışma halindeki bir karakterin iç dünyasını anlattığı bu eser modern psikolojik romanın öncüsü sayılmaktadır Yeraltı adamının çelişkili düşünceleri ve toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır,"Dostoyevski'nin topluma yabancılaşmış ve kendisiyle çatışma halindeki bir karakterin iç dünyasını anlattığı bu eser, modern psikolojik romanın öncüsü sayılmaktadır. | Yeraltı adamının çelişkili düşünceleri ve toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır.",32,dostoyevski topluma yabancılaşmış kendisiyle çatışma halindeki karakterin dünyasını anlattığı eser modern psikolojik romanın öncüsü sayılmaktadır yeraltı adamının çelişkili düşünceleri toplumsal ilişkilerdeki başarısızlıkları insanlığın evrensel çelişkilerini yansıtmaktadır,dostoyevski topluma yabancılaşmış kendisiyle çatışma halin karakter dünyasını anlattığı eser modern psikolojik roma öncüsü sayılmaktadır yeral adamı çelişkili düşünce toplumsal ilişkiler başarısızlık insanlığ evrensel çelişkilerini yansıtmaktadır
KIT015,Olağanüstü Bir Gece,Ahmet Hamdi Tanpınar,Roman,Türk Edebiyatı,D&R,1959,Tanpınar ın İstanbul sevgisi ve Osmanlı dan Cumhuriyet e geçiş sürecinin yarattığı kültürel kopuşu işlediği bu roman hem estetik hem de düşünsel derinliğiyle öne çıkar Eser zamanın akışı ve hafıza temaları etrafında örülmüş lirik bir anlatı sunmaktadır,"Tanpınar'ın İstanbul sevgisi ve Osmanlı'dan Cumhuriyet'e geçiş sürecinin yarattığı kültürel kopuşu işlediği bu roman, hem estetik hem de düşünsel derinliğiyle öne çıkar. | Eser zamanın akışı ve hafıza temaları etrafında örülmüş lirik bir anlatı sunmaktadır.",36,tanpınar istanbul sevgisi osmanlı cumhuriyet geçiş sürecinin yarattığı kültürel kopuşu işlediği roman estetik düşünsel derinliğiyle öne çıkar eser zamanın akışı hafıza temaları etrafında örülmüş lirik anlatı sunmaktadır,tanpınar istanbul sevgisi osmanlı cumhuriyet geçiş süreci yarattığı kültürel kopuşu işlediği roman estetik düşünsel derinliğiyle öne çıkar eser zama akışı hafıza tema etrafı örülmüş lirik anla sunmaktadır
KIT016,Memleketten İnsan Manzaraları,Nâzım Hikmet,Şiir,Türk Edebiyatı,Goodreads,1966,Nâzım Hikmet in Türkiye den insan portrelerini anlattığı bu uzun şiir farklı sınıf ve mesleklerden insanların hikayelerini ustaca bir araya getirir Bir tren yolculuğu metaforu etrafında örülen eser toplumun geniş bir kesitini epik bir şekilde yansıtmaktadır,"Nâzım Hikmet'in Türkiye'den insan portrelerini anlattığı bu uzun şiir, farklı sınıf ve mesleklerden insanların hikayelerini ustaca bir araya getirir. | Bir tren yolculuğu metaforu etrafında örülen eser, toplumun geniş bir kesitini epik bir şekilde yansıtmaktadır.",36,nâzım hikmet türkiye insan portrelerini anlattığı uzun şiir farklı sınıf mesleklerden insanların hikayelerini ustaca araya getirir tren yolculuğu metaforu etrafında örülen eser toplumun geniş kesitini epik şekilde yansıtmaktadır,nâzım hikmet türkiye insan portrelerini anlattığı uzun şiir farklı sınıf meslek insan hikayelerini ustaca araya getirir tren yolculuğu metaforu etrafı örülen eser toplum geniş kesitini epik şekil yansıtmaktadır
KIT017,Sinekli Bakkal,Halide Edib Adıvar,Roman,Türk Edebiyatı,Kitapyurdu,1936,İstanbul un köklü bir semtinde geçen bu roman farklı sosyal sınıflardan insanların bir arada yaşamasını ve Osmanlı nın son dönemini anlatır Rabia adlı genç bir kız üzerinden hem kişisel hem de toplumsal dönüşüm işlenmektedir Halide Edib Adıvar bu eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır,"İstanbul'un köklü bir semtinde geçen bu roman, farklı sosyal sınıflardan insanların bir arada yaşamasını ve Osmanlı'nın son dönemini anlatır. | Rabia adlı genç bir kız üzerinden hem kişisel hem de toplumsal dönüşüm işlenmektedir. | Halide Edib Adıvar bu eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır.",45,istanbul köklü semtinde roman farklı sosyal sınıflardan insanların arada yaşamasını osmanlı son dönemini anlatır rabia adlı genç kız üzerinden kişisel toplumsal dönüşüm işlenmektedir halide edib adıvar eserde tarihi bağlamı bireysel hikayelerle ustalıkla harmanlmıştır,istanbul köklü semti roman farklı sosyal sınıf insan ara yaşamasını osmanlı son dönemini anlatır rabia adlı genç kız üzeri kişisel toplumsal dönüşüm işlenmektedir hali edib adıvar eser tarihi bağlamı bireysel hikaye ustalıkla harmanlmıştır
KIT018,Kiralık Konak,Yakup Kadri Karaosmanoğlu,Roman,Türk Edebiyatı,D&R,1922,Osmanlı nın çöküşü ve modernleşme sürecinde bir konağın çevresinde dönen nesiller arası çatışmayı anlatan bu roman Türk edebiyatının önemli eserlerinden biridir Naim Efendi nin ailesi üzerinden geleneksel değerlerin ve kurumların nasıl çöktüğü işlenmektedir Karaosmanoğlu bu eserde toplumsal dönüşümü keskin bir gözlemle aktarmıştır,"Osmanlı'nın çöküşü ve modernleşme sürecinde bir konağın çevresinde dönen nesiller arası çatışmayı anlatan bu roman, Türk edebiyatının önemli eserlerinden biridir. | Naim Efendi'nin ailesi üzerinden geleneksel değerlerin ve kurumların nasıl çöktüğü işlenmektedir. | Karaosmanoğlu bu eserde toplumsal dönüşümü keskin bir gözlemle aktarmıştır.",42,osmanlı çöküşü modernleşme sürecinde konağın çevresinde dönen nesiller arası çatışmayı anlatan roman türk edebiyatının önemli eserlerinden biridir naim efendi ailesi üzerinden geleneksel değerlerin kurumların nasıl çöktüğü işlenmektedir karaosmanoğlu eserde toplumsal dönüşümü keskin gözlemle aktarmıştır,osmanlı çöküşü modernleşme süreci konağ çevresi dönen nesil arası çatışmayı anla roman türk edebiyatı önemli eserleri biridir naim efen ailesi üzeri geleneksel değer kurum nasıl çöktüğü işlenmektedir karaosmanoğlu eser toplumsal dönüşümü kesk gözlemle aktarmıştır
KIT019,Yüz Yıllık Yalnızlık,Gabriel García Márquez,Roman,Çeviri,Goodreads,1967,Latin Amerika edebiyatının ve dünya edebiyatının en önemli eserlerinden olan bu roman Buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır Macondo adlı hayali kasabada geçen olaylar insanlığın döngüsel tarihini ve yalnızlık olgusunu evrensel bir perspektiften ele almaktadır,"Latin Amerika edebiyatının ve dünya edebiyatının en önemli eserlerinden olan bu roman, Buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır. | Macondo adlı hayali kasabada geçen olaylar, insanlığın döngüsel tarihini ve yalnızlık olgusunu evrensel bir perspektiften ele almaktadır.",39,latin amerika edebiyatının dünya edebiyatının önemli eserlerinden roman buendía ailesinin yüz yıllık hikayesini büyülü gerçekçilik akımı çerçevesinde anlatır macondo adlı hayali kasabada olaylar insanlığın döngüsel tarihini yalnızlık olgusunu evrensel perspektiften ele almaktadır,lat amerika edebiyatı dünya edebiyatı önemli eserleri roman buendía ailesi yüz yıl hikayesini büyülü gerçekçi akımı çerçevesi anlatır macondo adlı hayali kasaba olay insanlığ döngüsel tarihini yalnız olgusunu evrensel perspektif ele almaktadır
KIT020,Puslu Kıtalar Atlası,İhsan Oktay Anar,Roman,Türk Edebiyatı,Kitapyurdu,1995,Osmanlı İstanbul unda geçen bu roman dil ve anlatı oyunlarıyla örülü postmodern bir yapıya sahiptir Batı nın keşif çağında İstanbul da yaşanan gizemleri anlatan eser hem tarihsel hem de fantastik unsurları bir arada barındırır İhsan Oktay Anar bu romanla Türk edebiyatına özgün ve alışılmadık bir ses getirmiştir,"Osmanlı İstanbul'unda geçen bu roman, dil ve anlatı oyunlarıyla örülü postmodern bir yapıya sahiptir. | Batı'nın keşif çağında İstanbul'da yaşanan gizemleri anlatan eser, hem tarihsel hem de fantastik unsurları bir arada barındırır. | İhsan Oktay Anar bu romanla Türk edebiyatına özgün ve alışılmadık bir ses getirmiştir.",47,osmanlı istanbul unda roman dil anlatı oyunlarıyla örülü postmodern yapıya sahiptir batı keşif çağında istanbul yaşanan gizemleri anlatan eser tarihsel fantastik unsurları arada barındırır ihsan oktay anar romanla türk edebiyatına özgün alışılmadık ses getirmiştir,osmanlı istanbul unda roman dil anla oyunlarıyla örülü postmodern yapıya sahiptir batı keşif çağı istanbul yaşanan gizem anla eser tarihsel fantastik unsur ara barındırır ihsan oktay anar romanla türk edebiyatı özg alışılmadık ses getirmiştir
